2,1
3,1
148,1
181,1
62,2
63,2
65,2
148,2
181,2
148,3
168,3
169,3
180,3
181,3
5,4
6,4
7,4
8,4
182,4
183,4
184,4
6,5
7,5
8,5
9,5
10,5
11,5
7,6
8,6
69,6
182,6
183,6
234,6
8,7
9,7
10,7
11,7
9,8
183,8
10,9
11,9
76,9
211,9
11,10
195,10
211,10
193,11
211,11
13,12
14,12
17,12
18,12
20,12
21,12
162,12
164,12
14,13
15,13
16,13
17,13
18,13
16,14
17,14
19,14
20,14
21,14
16,15
18,15
93,15
95,15
97,15
98,15
131,15
132,15
98,16
131,16
132,16
133,16
138,16
139,16
141,16
18,17
21,17
93,18
163,18
197,18
20,19
21,19
22,19
146,19
21,20
22,20
22,21
209,22
24,23
248,24
26,25
27,25
28,25
29,25
30,25
31,25
32,25
27,26
30,26
257,26
28,27
157,27
158,27
29,28
31,28
157,28
31,29
110,29
160,29
203,29
32,30
39,30
257,30
205,31
243,31
244,31
38,32
39,32
122,32
34,33
35,33
36,33
37,33
58,33
79,34
81,34
82,34
83,34
172,34
173,34
36,35
82,35
83,35
99,35
100,35
102,35
173,35
37,36
57,36
58,36
61,36
250,36
57,37
58,37
100,38
102,38
103,38
119,38
243,38
122,39
41,40
42,40
43,40
44,40
56,40
42,41
43,41
44,41
54,41
55,41
56,41
43,42
54,42
55,42
56,42
86,42
44,43
64,43
129,43
54,44
124,44
126,44
129,44
46,45
47,45
48,45
212,45
47,46
48,46
49,46
174,46
48,47
225,47
212,48
174,49
175,49
176,49
178,49
179,49
213,49
290,49
51,50
52,50
53,50
55,50
92,50
135,50
52,51
53,51
134,51
53,52
89,52
92,52
134,53
127,54
233,54
56,55
86,55
87,55
88,55
135,55
136,55
86,56
87,56
88,56
136,56
58,57
59,57
60,57
61,57
250,58
60,59
186,59
187,59
125,60
186,60
187,60
192,60
288,60
249,61
250,61
63,62
64,62
65,62
66,62
64,63
66,63
217,63
65,64
66,64
215,64
217,64
148,65
215,66
216,66
217,66
68,67
69,67
70,67
71,67
72,67
69,68
70,68
184,68
261,68
70,69
71,69
184,69
234,69
261,69
71,70
72,70
74,70
234,70
234,71
74,72
75,72
76,72
234,72
74,73
75,73
76,73
77,73
78,73
241,73
75,74
76,74
77,74
234,74
76,75
77,75
234,75
77,76
78,76
234,76
241,76
78,77
115,77
241,77
113,78
114,78
115,78
241,78
80,79
81,79
82,79
83,79
84,79
85,79
172,79
81,80
84,80
85,80
172,80
273,80
83,81
85,81
172,81
194,81
211,81
273,81
83,82
100,82
173,82
173,83
